Character,Words
DESMOND," Why make us do it—push the button? If we, if we can just..."
DESMOND," I think your friends just blew themselves up, brother."
DESMOND, I can't hear anything. Maybe we should open it. 
DESMOND, A trick? They could be hurt! Is your doctor around? 
DESMOND," Can I ask you a question, brother? "
DESMOND," Is the reason you're letting that clock there run all the way down to the very last tick—is it because you need to look down the barrel of a gun to find out what you really believe, John? "
DESMOND, Tell me about this other hatch you found—this Pearl.
DESMOND, Details.
DESMOND, What if you've got it backwards?
DESMOND," What if the experiment wasn't on the two men in here, but on the two men in there? I want to see that tape, John."
DESMOND," Well, was there anything else in that station? Was there a computer?"
DESMOND, So what did it do?! 
DESMOND," What printout, where is it?"
DESMOND," I'm never going to let go, brother. "
DESMOND, Goodbye?
DESMOND, What are you doing with my boat? 
DESMOND, You were leaving?
DESMOND, Come where?! What about the button?!
DESMOND, That's not what you said when you were going on and on about dams and electromagnetics and failsafes!
DESMOND, Why did you lie to me?!
DESMOND, You crazy old bastard! You stole my life!!
DESMOND, What else did you lie to me about?! What else? Tell me?!
DESMOND, How could you do this to me?! Get up. 
DESMOND, Oh my God. Oh my God. 
DESMOND, When did you come here?
DESMOND, The Island—when did you come here? How long ago?
DESMOND, The date—what was the date?
DESMOND, I think I crashed your plane.
DESMOND, We need to push the button.
DESMOND," Do you not hear me, brother? I crashed your bloody plane?"
DESMOND," On that day, those numbers turned to hieroglyphics. And when the last one came down this whole place started to shake! And that screen? That screen filled up with ""system failure,""  System Failure! And I know what they are. 92204—September the 22nd, 2004, the day your planed crashed! It's real! It's all bloody real!! Now, push the damn button!!"
DESMOND, You don't want to push the button? Then I will. 
DESMOND, You killed us. You killed us all. 
DESMOND," I'm trying, brother. "
DESMOND, It's all gone. It's all gone!!
DESMOND," 3 days before you came down here, before we met, I heard a banging on the Hatch door, shouting. But it was you, John, wasn't it? You said there isn't any purpose—there's no such thing as fate. But you saved my life, brother, so that I could save yours. "
DESMOND, I've got to go. And you've got to get as far away from here as possible. 
DESMOND," I'm going to blow the dam, John.  I'm sorry for whatever happened that made you stop believing. But it's all real. Now I've got to go and make it all go away. "
DESMOND," I'll see you in another life, brother. "
DESMOND,"  I love you, Penny."
DESMOND," You alone, brother? "
DESMOND, Beach camp's right over there. Can you get me some clothes? 
DESMOND, I woke up in the jungle like this. 
DESMOND,"  Fine, you want to discuss this in great detail right now?! Let's do it."
DESMOND, It was a failsafe key.
DESMOND, I'm sorry?
DESMOND, I didn't know what would happen. 
DESMOND, The failsafe key must have detonated the electromagnetic anomaly -- made the hatch implode. 
DESMOND, No.
DESMOND," I'm afraid I missed that, brother."
DESMOND, Don't worry. Locke's going to go after them. He said so in his speech. 
DESMOND," Right. Right, of course. I'm sorry. I'm just a bit shook up. "
DESMOND," You've, um, you've got a problem with your roof."
DESMOND," Look, maybe you should move down the beach, just for tonight. That way I can fix it -- make some improvements."
DESMOND," No, it'll be worth it. I promise."
DESMOND, I was just offering to fix this roof here.
DESMOND," Right, well, just trying to help, huh."
DESMOND," Don't mind me, brother. I'm just going to take one of your clubs. Hurley said it would be alright."
DESMOND," So, uh, I can take one of these?"
DESMOND," Thanks, mate.  You know, you might want to square your shoulders a bit more."
DESMOND, I'm Scottish. Cheers. 
DESMOND, Nope. Just an experiment.
DESMOND," Thanks, I'm not hungry.  You might want to wait a minute."
DESMOND, Is that supposed to hurt my feelings? 
DESMOND, The computer in the hatch wasn't only for pushing the button. I'm pretty sure... it could be used to communicate with other stations. 
DESMOND," Would you mind if I asked you a question, Brother? "
DESMOND," Are we off to poke at a computer, or are we going after your man Eko?"
DESMOND," Well, that's quite a coincidence. "
DESMOND, Are we?
DESMOND,  Charlie. 
DESMOND, I need you to come with me. 
DESMOND, Both of you.
DESMOND,  I've got her. 
DESMOND,  Just stand back; give me some room!
DESMOND," Get back, Charlie; I know what I'm doing. "
DESMOND, Come on; come on.
DESMOND, Are you alright? Come on; you're okay. Let's get you back to the tent. 
DESMOND,"  It's alright, Charlie.  Alright, let's get her back to her tent. "
DESMOND," I got it, Charlie. "
DESMOND," Aye, thanks. "
DESMOND," Penny, well, Penelope. How are you feeling?"
DESMOND, It's my pleasure. 
DESMOND, Aye.
DESMOND, No harm done. 
DESMOND," Thanks, but no. I've spent a wee bit too much time drunk as of late. "
DESMOND, What kind of whiskey is that? 
DESMOND,"  Alright then, let's have it.  No, the bottle, brother. I mean, if you've come to drink, let's drink. "
DESMOND, Cheers. 
DESMOND, Cheers. 
DESMOND," Anything, pal. "
DESMOND, I could hear her calling for help. 
DESMOND," Well, I suppose I've -- I've got good hearing. "
DESMOND, Excuse me? 
DESMOND,"  Thanks for the drink, pal. "
DESMOND,  You don't want to know what happened to me when I turned that key!
DESMOND, You don't want to know! And I don't want to know! 
DESMOND, You don't want to know!!
DESMOND," I'll see you in another life, brother."
DESMOND," I love you, Penny."
DESMOND,  What's happening? 
DESMOND, This is my flat? 
DESMOND, Absolutely nothing. 
DESMOND, Thanks.
DESMOND, Have I? 
DESMOND," Well, my severe head injury is a small price to pay for the pleasure of having you move into my humble -- is rat trap accurate?"
DESMOND, It's not about the job. I want him to respect me. 
DESMOND, What did you say? 
DESMOND," Yeah, yeah, I'm fine -- just had a bit of a deja vu, that's all. "
DESMOND," Good afternoon, uh, I'm here to see Mr. Widmore. "
DESMOND," Hume, uh, Mr. Desmond Hume. "
DESMOND," Excuse me, what did you say?"
DESMOND, Thank you.
DESMOND," No, it was actually set design for the Royal Shakespeare Company. "
DESMOND," No, sir. I had to look after my 3 brothers after my father--"
DESMOND," No, sir.  She's beautiful -- your boat."
DESMOND," No. No, sir. "
DESMOND," With all due respect, sir, I haven't come here to interview for a position in your company. "
DESMOND," No, sir. I came here to ask for your daughter's hand in marriage. We've been together 2 years now and Pen's moving in and I love her. Your permission would mean everything to me. "
DESMOND," No, I'm afraid not, sir. "
DESMOND," Mr. Widmore, I know I'm not..."
DESMOND, I know you? How do I know you?
DESMOND, How do I know you?
DESMOND, Where do I know you from?
DESMOND, You're Charlie. 
DESMOND,  Who -- they -- they. It -- it was in the hatch. I remember seeing you. There was a -- there was a computer. There was a button. We -- we were on an island. 
DESMOND,"  No, it was real, man. I remember!"
DESMOND, No this -- I remember this. This all happened before! Today -- th -- th -- this happened today. This -- I remember that he said I wasn't worthy -- and then I -- and then I -- and then I came down and I -- and I took off my tie and I -- and then I lost my tie and Penny said where was it and then it started to rain and...
DESMOND,  Donovan!
DESMOND,  I need to ask you something.
DESMOND, What do you know about time travel?
DESMOND, Just tell me if it's possible? 
DESMOND," You know what? Forget you're my best mate, right? As a physicist -- is it possible that I've somehow managed to go back in time and I'm now living my life over again?  It's not funny, Donovan."
DESMOND," These things are not in my head, brother. I remember things. "
DESMOND," It doesn't work like that. I don't remember everything, just -- just bits and pieces. "
DESMOND," Wait, I remember this. I know this song. The jukebox..."
DESMOND," I remember this night.  Graybridge come back from 2 goals down in the final 2 minutes and win this game. It's a bloody miracle. And after they win, Jimmy Lennon's going to come through that door and hit the bartender right in the head with a cricket bat because he owes him money. "
DESMOND," Watch, please! Just watch.  They'll score the first goal right now.  No, no, they came back. They won. Jimmy Lennon ... cricket bat. "
DESMOND, That's because I was at the pub. 
DESMOND, Nope. 
DESMOND, Your father was lovely. We just both agree that I wasn't exactly qualified. 
DESMOND, I don't think my failure to impress your father is any occasion to celebrate. 
DESMOND, Why? Why do you love me? 
DESMOND, I'm right here.
DESMOND, Is it that obvious?
DESMOND, I'm not a man of means...
DESMOND, I hope to -- one day...
DESMOND, I'll take it. 
DESMOND, It's perfect. I'll take it.
DESMOND, I don't understand.
DESMOND, I don't know what you're on about.
DESMOND, How do you know my name? 
DESMOND, Who are you? 
DESMOND, What?
DESMOND," So, what then? "
DESMOND," This isn't really happening, is it?"
DESMOND, I've had a concussion. You're my subconscious. 
DESMOND," You're here to talk me out of marrying Penny. Well, it won't bloody work. "
DESMOND," No, there is no island. There is no button. It's madness. I love her. She loves me. I'm going to spend the rest of my life with her. "
DESMOND," Oh, my God. You knew that was going to happen, didn't you?  Then why didn't you stop it? Why didn't you do anything? "
DESMOND, I'm going to meet Penny in an hour. I've got the ring; she'll say yes; I can choose whatever I want. 
DESMOND, How much for the ring? 
DESMOND, Hi.
DESMOND, Right on time.
DESMOND," No thanks, mate. "
DESMOND," Ah, I love the Alps."
DESMOND,  I couldn't go through with it.
DESMOND, I can't do this. 
DESMOND, Us. This. This relationship. 
DESMOND, How can I? I - I can't look after you. I haven't got a job. I don't have any -- I can't even afford 5 quid for a bloody photograph. You deserve someone better. 
DESMOND, Love's not enough. Being a good man is not enough. 
DESMOND," It's all happening too soon -- you moving in. You're painting rooms; you're changing things. I don't even like red. Why would you leave your flat, your expensive flat--"
DESMOND," I'm sorry, Pen, but this -- we're not supposed to be together. "
DESMOND, Just give me a pint of your cheapest. I'm celebrating. 
DESMOND, I think I've made the biggest mistake of my life. And the worst part is I'm pretty sure I've made it before. 
DESMOND, Do they now? 
DESMOND,  I had the wrong night. I was right. I was off by a night. I heard the song and then -- I remember this. I'm not crazy. I can still change things. I can still change it. 
DESMOND, Jimmy Lennon. 
DESMOND,"  Hey, duck brother!"
DESMOND," Oh, no. Oh. "
DESMOND,"  Please, let me go back. Let me go back one more time. I'll do it right. I'll do it right this time. I'm sorry, Penny. I'll change it. I'll change it. "
DESMOND, I could hear her calling for help. 
DESMOND, You don't want to know what happened to me when I turned that key! You don't want to know!
DESMOND, You don't want to know what happened to me! You don't want to know!
DESMOND,  You don't want to know. No matter what you do...
DESMOND,  You can't change it. You can't change it no matter what you try to do. You just can't change it.
DESMOND," You're a good man, Charlie. Listen, I'm sorry I tried to strangle you, alright?"
DESMOND," No, you're right, pal. "
DESMOND," When I turned that key my life flashed before my eyes. And then I was back in the jungle and still on this bloody island. But those flashes, Charlie -- those flashes -- they didn't stop. "
DESMOND," I wasn't saving Claire, Charlie, I was saving you. This morning you dove in after Claire. You tried to save her but you drowned. "
DESMOND," When I saw the lightning hit the roof you were electrocuted. And when you heard Claire was in the water you -- you drowned trying to save her. I dove in myself so you never went in. I've tried, brother. I've tried twice to save you, but the universe has a way of course correcting and -- and I can't stop it forever. I'm sorry. I'm sorry because no matter what I try to do you're going to die, Charlie."
DESMOND, When's what going to happen?
DESMOND, I was drunk. Now if I said anything...
DESMOND, It doesn't work like that.
DESMOND," Aye, apologies for the scotch, mate."
DESMOND," Well, to be fair there was -- there was 3 of us."
DESMOND, Good morning.
DESMOND, Boar running thick. I was hoping you might want to join me in a hunt.
DESMOND," I think hunting might be a better way to spend your day, Charlie. I mean of all the things you could choose to do today, hunting with me might be your best option."
DESMOND," Look, I'm sorry. "
DESMOND," I'm sorry, man. "
DESMOND, I said I'm sorry. 
DESMOND," Look I was shooting at a boar, I had no idea you were out here."
DESMOND," He's back at the camp, look I'm really sorry."
DESMOND, Aye it's just me.
DESMOND," I was following a boar, Claire."
DESMOND, It got away.
DESMOND, Why wouldn't I want you to catch the birds?
DESMOND, You followed me. Stay back!
DESMOND, Stay back!
DESMOND, I didn't.
DESMOND, How would I?
DESMOND, See that spot over there?  That's where Charlie slipped and fell. He got pounded again and again by the rocks and broke his neck.
DESMOND, That's where Charlie died.
DESMOND, Aye. Tragic. 
DESMOND, How do you mean? 
DESMOND, Doesn't work like that. I only see flashes. 
DESMOND, I do know that she was with your mate this morning. 
DESMOND," I saw her with your boy Sawyer. The dead girl, Nikki. "
DESMOND, Then why was she yelling at him? 
DESMOND, Aye. 
DESMOND, Right before she died. 
DESMOND," You asked me to help you catch a boar. Well, this is when they break cover to eat. "
DESMOND," So what's your angle, brother?"
DESMOND," Well, you... haven't spoken three words to me and then, suddenly you want to be my hunting partner."
DESMOND, Shh. 
DESMOND," Claire, you don't look so good. "
DESMOND, Where did Locke go?
DESMOND," Don't, don't touch it."
DESMOND," Just breathe, just breathe huh."
DESMOND, Don't try to talk mate. We've gotta get back.
DESMOND, I can't help!  I'm sorry mate.
DESMOND, Hey. Where's the wire?
DESMOND," Listen to me, there's a wire, a cable buried in the sand. Do you know what I'm talking about?"
DESMOND," The cable, do you know where it is?! This is important."
DESMOND,  Because someone's coming.
DESMOND," Thank you, brother."
DESMOND," Morning, Jack. Must be nice to wake up in your own bed."
DESMOND," Listen, I was wondering if I could borrow your first-aid kit. Er, twisted my ankle."
DESMOND," Nah, you're alright. I've taped my share of ankles."
DESMOND, Thanks.
DESMOND, Absolutely.
DESMOND, What the hell was that? Do you want him to get suspicious?
DESMOND, No. It's just a precaution.
DESMOND, I saw a sequence of events. Things that are gonna happen. 
DESMOND," It was, it was like a sorta jigsaw puzzle. Only I didn't have the picture in the box, so I dunno how the pieces fit exactly, but... but one of the pieces, the first one..."
DESMOND," ... It was you, pulling the cable out the sand. "
DESMOND," If I tell you that, it'll change the picture in the box."
DESMOND, Not this time.
DESMOND, More than anything.
DESMOND, Because he was there with us.
DESMOND,  That's right.
DESMOND, Aye.
DESMOND, That'd be the long and short of it. But I've no bloody idea how I'm gonna get him to come with us.
DESMOND,"  Good man. Get food, water."
DESMOND, We need one more.
DESMOND, Someone's coming to the Island.
DESMOND, Can't tell ya.
DESMOND," Well, you're a part of it, yeah. As are Jin and Hurley."
DESMOND," Well, that's not gonna happen. Not this time."
DESMOND,  Absolutely.
DESMOND," But, how can you tell?"
DESMOND, Where is it then?
DESMOND,  Cut her down!
DESMOND," We're not going in the jungle, well, not yet. It's getting late, so we'll, er, we'll camp here the night."
DESMOND, Soon.
DESMOND," Used to being quiet, I suppose."
DESMOND," Moriah. I find the name the brothers have chosen for the wine made here, interesting."
DESMOND," Well, Moriah's the mountain where Abraham was asked to kill Isaac. It's not exactly the most... festive locale, is it?"
DESMOND," Well, one might argue then, God may not have asked Abraham to sacrifice his son in the first place."
DESMOND," Forgive me, brother."
DESMOND, Thanks.
DESMOND, Her name's Penny.
DESMOND, Because I'm a coward.
DESMOND," You and me both pal. You know, I tried to run away from her, and she, she tracked me down. With enough money and determination, you can find anyone, she said. And I used to wake up at nights, thinking if she actually meant it, that she never gave up, that maybe she's spent the last three years looking for me. "
DESMOND, No.
DESMOND, Oh my god.
DESMOND," Out to where it fell. Come on, let's go."
DESMOND, Yes we are.
DESMOND, She can't wait.
DESMOND," They. Whoever it is... could be hurt. We have to go, all four of us, now."
DESMOND, Because that's the way its supposed to happen.
DESMOND,  We'll leave at first light then. Together.
DESMOND, Is your sister in?
DESMOND," Hello, Ruth."
DESMOND," Well, technically, I'm still what they call a novice, 'til the abbey..."
DESMOND," Well, now that my initiation's done, I felt like I owed you an explanation."
DESMOND, I had a calling.
DESMOND," OK, yes, I was scared about the wedding, so I had a few pints too many, maybe, and I... I raised my eyes, and I asked, am I doing the right thing, and that's the last thing I remember. And when I woke up, I was lying on my back in the street, and I dunno how I got there, and... there was this man standing over me, Ruth. And he reached out his hand, and he said to me, ""Can I help you brother?"". And the first thing I noticed was the rope tied round his waist, and... I looked at him... and I knew. I knew... I was supposed to go with him. I was supposed to leave everything that mattered behind, sacrifice all of it... for a greater calling."
DESMOND, Next?
DESMOND,"  That's it, there is no next. We find the beacon."
DESMOND," Look, mate. I've saved your life three times now. If that hasn't bought me your trust, I don't know what will. Let's move."
DESMOND," Actually you're not. And if you don't get a move on, we're not gonna make it before nightfall—"
DESMOND, Don't move.
DESMOND, Oh my god.
DESMOND, Who?
DESMOND, Earlier I hoped it. Now I know it.
DESMOND, Would you come if I had?
DESMOND, I didn't wanna tell you because... I didn't want anything to change.
DESMOND,  Right.
DESMOND,  Right.
DESMOND,"  Well it's a grand old team to play for, and it's a grand old team to see. And if you know your history, it's..."
DESMOND," Well, I believe I'm... getting pissed on our lovely wine."
DESMOND," Well, it's just as well we've taken a vow of poverty then, isn't it?"
DESMOND, Right.
DESMOND," Well... ah, you know, I, I've had a tough week. I'm sorry for the wine. I'll take the penance. "
DESMOND, Brother Desmond.
DESMOND, Are you firing me?
DESMOND," You can't do that, I heard the call."
DESMOND," Oh aye, I'm sure he does."
DESMOND, Hey. What am I supposed to do now?
DESMOND," Hey, we'll move faster if we stop talking. She might be hurt."
DESMOND," Ahh, Charlie, duck!"
DESMOND," No, the beacon fell this side of the rise."
DESMOND, Sorry.
DESMOND, Aye.
DESMOND," Because if I'd told you the truth, you wouldn't have come!"
DESMOND," If the flashes don't happen exactly how I saw them, the picture changes. I was supposed to let you die, Charlie."
DESMOND," It means it's bloody pointless. I keep saving your life, and what good has it done? Its just gonna keep happening again and again, maybe that's the point, eh? Maybe it's a test."
DESMOND," Like God testing Abraham, except I failed, because I changed what I saw."
DESMOND," I'm sorry, Penny. I'm sorry."
DESMOND, No.
DESMOND, I nearly took this with me.
DESMOND, Absolutely.
DESMOND," You better drive safe, Miss. This vineyard only makes a limited number of these cases each year."
DESMOND," Aye, it's 'cause the monks are lazy."
DESMOND," Yeah, its easier making grape jelly than wine. "
DESMOND, Cause I'm an ex-monk.
DESMOND, As of last night. I was fired. 
DESMOND," Oh, it wasn't that funny. "
DESMOND," Oh, they can. You know, I was told under no uncertain terms that the abbey wasn't where I was meant to end up. It's just a... step along a path. You know, God allegedly has bigger plans for me."
DESMOND, I suspect that's because I don't.
DESMOND, Did I say I was coming to Carlisle with you?
DESMOND," You know, I don't usually get into cars with strangers."
DESMOND," Desmond. Very nice to meet you, Penny."
DESMOND," Stand back! Get away from her! I'm here, I'm here, Penny."
DESMOND," Just get off, Charlie! Sorry Penny, I'm sorry."
DESMOND, I've no idea.
DESMOND, I've never seen her before in my life.
DESMOND,  Give me a hand.
DESMOND, Don't know.
DESMOND," Wait, you understand her then?"
DESMOND, Oh god!
DESMOND," Right, get her pack! We haven't got much in this first-aid kit. See if there's anything we can use in there."
DESMOND,  Just go and start looking!
DESMOND," No, if we move her, it'll make it worse."
DESMOND," No, we... we need to bring Jack here."
DESMOND, Then I'll run.
DESMOND, Nobody knows we're here!
DESMOND," No, you'll just make it worse."
DESMOND," Lest you forget, she said my bloody name! She had a photo of me and my girlfriend. Do I understand?! I understand better than the lot of you!"
DESMOND, We've wasted enough time already. 
DESMOND," Just get out of my way, Charlie."
DESMOND," Hey, Jin!"
DESMOND, Jin!
DESMOND," Who are you?  I said, who are you?!"
DESMOND," You've got five seconds to talk, or I fire this gun brother."
DESMOND, And how do you think it'll feel? Taking a flare to the chest at this range.
DESMOND, You understand her.
DESMOND, I'm saving her.
DESMOND," Well, do it. Help her."
DESMOND,  What you need?
DESMOND, I'll do it.
DESMOND," Yeah, I heard ya!"
DESMOND, Is that... normal?
DESMOND, What did she say?
DESMOND, Just go.
DESMOND, So what would you have me do Charlie? We gotta make a stretcher and carry her. How we gonna do that and bring a prisoner?
DESMOND," No, Jin."
DESMOND," Jin, it's all right!"
DESMOND, Jin! Come back here!
DESMOND," Jin, it's all right, Jin!"
DESMOND," Jin, let him go! Jin, let go!"
DESMOND," Charlie, don't, Charlie!"
DESMOND," Charlie, let him go!"
DESMOND," We gave him our word!  Go on, get out of here."
DESMOND, What's that?
DESMOND," You know brother, by my count, you've killed more of them than they've killed of you."
DESMOND," Can you give me your word that Jack can be trusted? Now, he spent 10 days with those people and then nothing happened to him? And that woman he's spending all his time with—"
